"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","superphylum","phylum","subphylum","class","order","below_order","below_below_order","family","below_family","genus","below_genus","species_group","species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies"
"1350","81852","genus","Enterococcus","1","131567","2","","","1239","","91061","186826","","","81852","","1350","","","","","","","",""
"561","543","genus","Escherichia","1","131567","2","","","1224","","1236","91347","","","543","","561","","","","","","","",""
"1730","186806","genus","Eubacterium","1","131567","2","","","1239","","186801","186802","","","186806","","1730","","","","","","","",""
"66831","186827","genus","Facklamia","1","131567","2","","","1239","","91061","186826","","","186827","","66831","","","","","","","",""
"216851","541000","genus","Faecalibacterium","1","131567","2","","","1239","","186801","186802","","","541000","","216851","","","","","","","",""
"236752","541000","genus","Fastidiosipila","1","131567","2","","","1239","","186801","186802","","","541000","","236752","","","","","","","",""
"150022","1570339","genus","Finegoldia","1","131567","2","","","1239","","186801","186802","","","1570339","","150022","","","","","","","",""
"848","203492","genus","Fusobacterium","1","131567","2","","","32066","","203490","203491","","","203492","","848","","","","","","","",""
"2701","31953","genus","Gardnerella","1","131567","2","","","201174","","1760","85004","","","31953","","2701","","","","","","","",""
"1378","539738","genus","Gemella","1","131567","2","","","1239","","91061","1385","539002","539738","","","1378","","","","","","","",""
"13075","186827","genus","Globicatella","1","131567","2","","","1239","","91061","186826","","","186827","","13075","","","","","","","",""
"117563","186828","genus","Granulicatella","1","131567","2","","","1239","","91061","186826","","","186828","","117563","","","","","","","",""
"724","712","genus","Haemophilus","1","131567","2","","","1224","","1236","135625","","","712","","724","","","","","","","",""
"31983","1570339","genus","Helcococcus","1","131567","2","","","1239","","186801","186802","","","1570339","","31983","","","","","","","",""
"404402","186813","genus","Howardella","1","131567","2","","","1239","","186801","186802","186813","","","","404402","","","","","","","",""
"1472763","543310","genus","Kallipyga","1","131567","2","","","1239","","186801","186802","538999","","543310","","1472763","","","","","","","",""
"570","543","genus","Klebsiella","1","131567","2","","","1224","","1236","91347","","","543","","570","","","","","","","",""
"1578","33958","genus","Lactobacillus","1","131567","2","","","1239","","91061","186826","","","33958","","1578","","","","","","","",""
