"tax_id","parent_id","rank","tax_name","root","root_","superkingdom","superkingdom_","superkingdom__","phylum","subphylum","class","order","family","genus","species_group","species","species_","species__","subspecies","subspecies_","subspecies__"
"411466","1660","species_","Actinomyces odontolyticus ATCC 17982","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","1660","411466","","","",""
"1673722","1654","species","Actinomyces ihuae","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","1673722","","","","",""
"1689268","1654","species","Actinomyces urinae","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","1689268","","","","",""
"33007","1654","species","Actinomyces neuii","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","33007","","","","",""
"29318","33007","subspecies","Actinomyces neuii subsp. anitratus","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","33007","","","29318","",""
"52773","1654","species","Actinomyces meyeri","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","52773","","","","",""
"85009","1760","order","Propionibacteriales","1","131567","2","1783272","","201174","","1760","85009","","","","","","","","",""
"31957","85009","family","Propionibacteriaceae","1","131567","2","1783272","","201174","","1760","85009","31957","","","","","","","",""
"1912216","31957","genus","Cutibacterium","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","","","","","",""
"1050843","1912216","species","[Propionibacterium] humerusii","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","1050843","","","","",""
"999892","1050843","species_","[Propionibacterium] humerusii P08","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","1050843","999892","","","",""
"1574624","1912216","species","[Propionibacterium] namnetense","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","1574624","","","","",""
"1747","1912216","species","Cutibacterium acnes","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","1747","","","","",""
"1734925","1747","subspecies","Cutibacterium acnes subsp. acnes","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","1747","","","1734925","",""
"33010","1912216","species","Cutibacterium avidum","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","33010","","","","",""
"997355","33010","species_","Cutibacterium avidum ATCC 25577","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","33010","997355","","","",""
"33011","1912216","species","Cutibacterium granulosum","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","33011","","","","",""
"1160719","33011","species_","Cutibacterium granulosum DSM 20700","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","33011","1160719","","","",""
